,doornumber,cylindernumber,x0_diesel,x0_gas,x1_std,x1_turbo,x2_convertible,x2_hardtop,x2_hatchback,x2_sedan,x2_wagon,x3_4wd,x3_fwd,x3_rwd,x4_front,x4_rear,x5_dohc,x5_dohcv,x5_l,x5_ohc,x5_ohcf,x5_ohcv,x5_rotor,x6_1bbl,x6_2bbl,x6_4bbl,x6_idi,x6_mfi,x6_mpfi,x6_spdi,x6_spfi,x7_Nissan,x7_alfa-romero,x7_audi,x7_bmw,x7_buick,x7_chevrolet,x7_dodge,x7_honda,x7_isuzu,x7_jaguar,x7_maxda,x7_mazda,x7_mercury,x7_mitsubishi,x7_nissan,x7_peugeot,x7_plymouth,x7_porcshce,x7_porsche,x7_renault,x7_saab,x7_subaru,x7_toyota,x7_toyouta,x7_vokswagen,x7_volkswagen,x7_volvo,x7_vw,symboling,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg
doornumber,1.0,0.1543223897645273,0.1914905353976692,0.19149053539766922,0.03179175497874771,0.03179175497874767,0.19628031778321203,0.22779256551670282,0.6066876735910536,0.5150456805626363,0.3296902366978937,0.0936139404158077,0.03357753684224263,0.07395787879638117,0.1377566611448208,0.13775666114482088,0.07250849662086083,0.07914301332230282,0.17871812547395247,0.02140383208488782,0.022094727066644327,0.05213788484675822,0.15946289063012423,0.09468749528144568,0.02052487178619265,0.13775666114482085,0.1914905353976692,0.07914301332230288,0.02501944991184789,0.14627178189969942,0.07914301332230285,0.07914301332230286,0.13775666114482085,0.05808592246377035,0.025998064542667117,0.025998064542667204,0.05590125379789833,0.05031749297349666,0.09247096557726932,0.017332922894578693,0.025954153549024202,0.1122004617790247,0.015650431672206335,0.07914301332230284,0.13280404630778025,0.01912577863805406,0.2106530793901825,0.00396040380434798,0.07914301332230284,0.1594628906301242,0.012195702367285281,0.02133481715034915,0.09497591810901485,0.010706914657876373,0.06193801042615005,0.07914301332230286,0.14159108487890906,0.2106530793901825,0.11220046177902473,0.6640734518037423,0.44735674020658484,0.39856780380666423,0.20716821862581802,0.5522079480069919,0.19737941963692174,0.020741830272751092,0.11925822389712691,0.01108164388411397,0.17788830860598231,0.12694694225409825,0.2476681775125692,0.012416653792617126,0.03632984787456202
cylindernumber,0.1543223897645273,1.0,0.1106168959719788,0.1106168959719788,0.133119161641054,0.13311916164105383,0.062062815550169056,0.06144981936344342,0.1659287394456792,0.07682983303403818,0.05496082003034604,0.09158687760006323,0.17522683322531277,0.21757974872222693,0.13554132533707702,0.13554132533707702,0.12027900746187768,0.18671656804321887,0.01557753599824749,0.2924960988906142,0.029351206697599733,0.03726735311274991,0.6900066003944136,0.03511679963944761,0.07531768093141808,0.5960822926426147,0.1106168959719788,0.010325340168288583,0.02460402174663048,0.031601861919510414,0.010325340168288576,0.010325340168288464,0.03319888815806846,0.2307457797354621,0.1606672858923278,0.41049098476536977,0.08437010674757277,0.03160186191951064,0.03837430419530682,0.02080421910736923,0.23788376251608545,0.014638158016419888,0.33610009238035365,0.010325340168288547,0.03837430419530653,0.08934631447495284,0.03511679963944772,0.027729106577652138,0.07787027376917646,0.02080421910736925,0.014638158016419853,0.02560758005508389,0.03677319973356739,0.01079300677399558,0.07787027376917639,0.0103253401682887,0.06159436975978732,0.01942065434605781,0.014638158016420056,0.19776151321134164,0.18459576817698675,0.1095847480353615,0.19407370463497844,0.2838447792951251,0.0471273031170759,0.08561334517538886,0.03284448940621009,0.050087575633511724,0.06470082949715128,0.11561198796626651,0.22273073786628564,0.12642226891482916,0.08589714149964293
x0_diesel,0.1914905353976692,0.1106168959719788,1.0,1.0,0.4013972279419282,0.4013972279419282,0.05709238958025108,0.018635177989254056,0.2020929386236833,0.1856232006001442,0.028183227180262595,0.07045670884515315,0.09034248560828027,0.12203511809568922,0.04006951412235504,0.040069514122354995,0.0819862650350054,0.023020462775806546,0.2681634085519969,0.02058394879222694,0.09238425536915797,0.0855559455550567,0.04638324197897084,0.07829330227667992,0.22656545951891122,0.04006951412235503,1.0,0.023020462775806542,0.30257397520264256,0.07045670884515312,0.023020462775806542,0.023020462775806542,0.04006951412235503,0.061822356975481156,0.06625841062845884,0.27331594384239255,0.04006951412235503,0.07045670884515316,0.0855559455550567,0.04638324197897085,0.040069514122355036,0.03263593898419924,0.03387422696869119,0.023020462775806542,0.08555594555505672,0.03925812207473368,0.28648231060330615,0.06182235697548114,0.023020462775806546,0.04638324197897085,0.03263593898419923,0.05709238958025106,0.08198626503500538,0.0011192153844958956,0.023020462775806542,0.21293928067621049,0.17027037970912,0.005338179700682719,0.03263593898419924,0.19431093875737132,0.30834586183695856,0.21267882217810202,0.23387981306426134,0.2846310583752251,0.21727532151806642,0.06959428558590437,0.054451029213731655,0.24182882129112238,0.9843560568767543,0.16392616716997843,0.47688264182973916,0.2559625630472915,0.1913919112514853
x0_gas,0.19149053539766922,0.1106168959719788,1.0,1.0,0.4013972279419281,0.4013972279419281,0.0570923895802511,0.018635177989254063,0.20209293862368338,0.18562320060014428,0.02818322718026264,0.07045670884515315,0.09034248560828034,0.12203511809568911,0.040069514122355036,0.040069514122354995,0.08198626503500539,0.023020462775806542,0.2681634085519969,0.02058394879222702,0.09238425536915797,0.08555594555505673,0.04638324197897087,0.07829330227667998,0.22656545951891124,0.04006951412235506,1.0,0.023020462775806556,0.30257397520264245,0.07045670884515311,0.023020462775806556,0.023020462775806536,0.04006951412235507,0.0618223569754812,0.06625841062845887,0.27331594384239255,0.04006951412235507,0.0704567088451532,0.08555594555505674,0.046383241978970875,0.04006951412235506,0.03263593898419926,0.03387422696869114,0.023020462775806536,0.08555594555505666,0.03925812207473368,0.28648231060330615,0.061822356975481156,0.023020462775806556,0.04638324197897084,0.03263593898419922,0.057092389580251035,0.08198626503500535,0.001119215384495807,0.02302046277580651,0.2129392806762105,0.17027037970912018,0.005338179700682628,0.03263593898419919,0.19431093875737132,0.30834586183695856,0.2126788221781021,0.23387981306426134,0.2846310583752253,0.2172753215180665,0.06959428558590443,0.05445102921373177,0.24182882129112257,0.9843560568767543,0.16392616716997846,0.47688264182973933,0.25596256304729154,0.1913919112514853
x1_std,0.03179175497874771,0.133119161641054,0.4013972279419282,0.4013972279419281,1.0,1.0000000000000002,0.08148830946855536,0.029074200618915448,0.009785654006271176,0.01711097347313294,0.01890767985503131,0.08516169858320186,0.14568082775658842,0.11247017262511468,0.05719145740900274,0.05719145740900284,0.008960951703261638,0.0328572443468575,0.20715611878716783,0.02016178909117217,0.03445006687743509,0.07006986627492706,0.0662030789799822,0.11174849909319885,0.3233782368525858,0.057191457409002784,0.4013972279419281,0.1491896500073527,0.05004078651064128,0.3947033335044142,0.03285724434685744,0.0328572443468575,0.057191457409002534,0.05144460408443695,0.0945710261889992,0.16741627609133666,0.05719145740900265,0.0851616985832019,0.12211451332695615,0.06620307897998218,0.057191457409002756,0.04658147110838848,0.13186060080673387,0.14918965000735268,0.19015336898521856,0.09512769384167842,0.22596809521794306,0.05144460408443647,0.032857244346857495,0.06620307897998229,0.046581471108388554,0.06900811792832616,0.008960951703261848,0.16268215953372786,0.0328572443468574,0.032857244346857384,0.023253371598959533,0.16968199616608623,0.046581471108388346,0.05986604684222365,0.25761086421252033,0.2345390329583038,0.3005673693788307,0.08731109338446538,0.3249018818653245,0.10821740368388504,0.2126141951013211,0.22298217703518972,0.29554077239620447,0.24168524951319392,0.1833828346188806,0.2023618767954985,0.2544164697067269
x1_turbo,0.03179175497874767,0.13311916164105383,0.4013972279419282,0.4013972279419281,1.0000000000000002,1.0,0.08148830946855551,0.029074200618915375,0.009785654006271231,0.01711097347313285,0.018907679855031338,0.08516169858320187,0.1456808277565884,0.11247017262511458,0.05719145740900265,0.0571914574090027,0.008960951703261734,0.03285724434685742,0.2071561187871679,0.02016178909117234,0.03445006687743486,0.07006986627492705,0.06620307897998215,0.11174849909319907,0.3233782368525855,0.057191457409002756,0.4013972279419282,0.1491896500073527,0.05004078651064154,0.3947033335044142,0.032857244346857425,0.032857244346857425,0.057191457409002736,0.05144460408443656,0.09457102618899944,0.1674162760913367,0.057191457409002756,0.08516169858320176,0.12211451332695622,0.06620307897998216,0.05719145740900277,0.04658147110838844,0.1318606008067337,0.1491896500073527,0.19015336898521873,0.09512769384167825,0.2259680952179431,0.05144460408443659,0.03285724434685742,0.06620307897998212,0.04658147110838843,0.06900811792832627,0.008960951703261702,0.16268215953372792,0.03285724434685742,0.03285724434685742,0.02325337159895938,0.16968199616608606,0.046581471108388436,0.059866046842223616,0.25761086421252033,0.2345390329583039,0.30056736937883066,0.08731109338446535,0.3249018818653244,0.10821740368388501,0.21261419510132118,0.2229821770351895,0.2955407723962045,0.24168524951319395,0.18338283461888066,0.20236187679549852,0.2544164697067268
x2_convertible,0.19628031778321203,0.062062815550169056,0.05709238958025108,0.0570923895802511,0.08148830946855536,0.08148830946855551,1.0,0.03499137168125601,0.12503489183599004,0.16295641230149457,0.06471170442908496,0.037208512296850654,0.14757234543100128,0.1663062043711626,0.21983818562219837,0.2198381856221984,0.20325688210348852,0.012157212369304636,0.043297323998376255,0.15061126203790134,0.06234092571838024,0.07356635982995158,0.024495203619790736,0.04134705336471725,0.11965026219261107,0.021160894872724982,0.05709238958025108,0.012157212369304638,0.18868902899535428,0.037208512296850675,0.012157212369304636,0.012157212369304636,0.46083726611712134,0.032648671325224914,0.034991371681256024,0.11445094487410817,0.02116089487272497,0.03720851229685065,0.045182488714458416,0.02449520361979074,0.02116089487272499,0.017235189620929646,0.04878855056221063,0.012157212369304636,0.04518248871445843,0.052214920733280094,0.041347053364717286,0.032648671325225066,0.012157212369304636,0.18473466063258856,0.01723518962092965,0.03015075376884423,0.04329732399837625,0.00748679542856026,0.012157212369304633,0.012157212369304633,0.03720851229685066,0.04134705336471723,0.27719929973661855,0.27943961979457205,0.17507099617029404,0.05172207834502795,0.026328067448370126,0.16323866027595918,0.08227216317193735,0.12648286981368534,0.10405606208004067,0.11771759854697868,0.05299032605092579,0.12126729755790099,0.01211971970568884,0.12557063863873955,0.12009393198160984
x2_hardtop,0.22779256551670282,0.06144981936344342,0.018635177989254056,0.018635177989254063,0.029074200618915448,0.029074200618915375,0.03499137168125601,1.0,0.14510888871639932,0.18911860162440583,0.07510098484322222,0.04318223330227531,0.18830799495895648,0.21039031879494852,0.39497798145811336,0.3949779814581136,0.05024858643489317,0.014109018297973005,0.05024858643489318,0.043606450000032146,0.13683508342890463,0.050923820272737924,0.028427839013226822,0.047985205388283325,0.08494641359708967,0.024558216463716896,0.018635177989254056,0.014109018297973003,0.11787572416963148,0.043182233302275295,0.014109018297973001,0.014109018297973008,0.024558216463716916,0.03789032280913049,0.04060913705583755,0.2195431472081217,0.024558216463716916,0.04318223330227528,0.052436408993710354,0.028427839013226826,0.024558216463716896,0.020002250379758703,0.0566214138326502,0.014109018297973008,0.05243640899371037,0.030744511635601657,0.047985205388283374,0.0378903228091305,0.3474345755875856,0.15368800466525748,0.020002250379758703,0.03499137168125605,0.050248586434893175,0.12587297203656203,0.014109018297973003,0.014109018297973003,0.043182233302275316,0.04798520538828336,0.020002250379758703,0.16884454377030558,0.008607579381808325,0.04729182100338434,0.0663600071575198,0.07232775731502081,0.09895632610691296,0.239363361516895,0.2080892726101683,0.043214510831538266,0.02962297899151307,0.1948011147894712,0.039756144931021704,0.11099252853072963,0.10270654073344287
x2_hatchback,0.6066876735910536,0.1659287394456792,0.2020929386236833,0.20209293862368338,0.009785654006271176,0.009785654006271231,0.12503489183599004,0.14510888871639932,1.0,0.6757787066389291,0.2683588286331377,0.05388370951057175,0.16755211417904511,0.14804621508638005,0.08775403168520339,0.0877540316852035,0.004275085588738258,0.09723055853282461,0.13573396744243868,0.05655971186293789,0.08382063038733165,0.018531232916527567,0.19590694453450164,0.1480841352210586,0.12028812366419368,0.16923991825003543,0.2020929386236833,0.09723055853282465,0.20846301996007152,0.19716539161822852,0.09723055853282461,0.050415845165168345,0.002089381706790516,0.07874941578948233,0.14510888871639926,0.14510888871639932,0.08357526827162236,0.09674575116670836,0.1080988586797439,0.027209297852014182,0.08775403168520342,0.13784304019343066,0.11368775155982905,0.09723055853282463,0.19251891974392493,0.030023730606755904,0.1714658407822786,0.09118353407203224,0.05041584516516834,0.04716278294349113,0.03318443560212222,0.05805191406670968,0.04809471287330502,0.0980452740342294,0.05041584516516833,0.05041584516516833,0.15430334996209186,0.17146584078227858,0.03318443560212221,0.43564813740944963,0.386093731640759,0.4362687527655908,0.2223078281364273,0.4774759331706421,0.28750147601605913,0.21680501837157884,0.2270317913965754,0.05231636317159584,0.2026503093270141,0.05377023070968686,0.15979789971542474,0.12079482337857299,0.14886798012218116
x2_sedan,0.5150456805626363,0.07682983303403818,0.1856232006001442,0.18562320060014428,0.01711097347313294,0.01711097347313285,0.16295641230149457,0.18911860162440583,0.6757787066389291,1.0,0.34974870839133443,0.05795637198346365,0.015971106027410906,0.008293326611175525,0.11436873306668711,0.11436873306668716,0.02579797264646865,0.06570634109109307,0.057486820936619075,0.08057099528596022,0.07599356196664805,0.00352209729733757,0.1323897415991103,0.09332382195186778,0.06083002939840548,0.1143687330666871,0.1856232006001442,0.06570634109109308,0.07809367794069351,0.1056714573513756,0.06570634109109307,0.07460407478051194,0.11436873306668703,0.09269242084454646,0.21472841226104442,0.012804905318319158,0.03296043348796882,0.05795637198346354,0.043634872072570864,0.07964070393071467,0.1298561656694677,0.0931513914210947,0.0009155850839355009,0.06570634109109308,0.08374764684780404,0.0013833680344028422,0.08020346603119705,0.0687972075390118,0.06570634109109307,0.13238974159911024,0.09315139142109473,0.011033507082913695,0.025797972646468676,0.12325559715697414,0.06570634109109307,0.0746040747805119,0.18061905485609558,0.12358528802696331,0.09315139142109473,0.3783410333793494,0.2910855084356494,0.26964661467894424,0.15463666462005235,0.23586338140445282,0.09942510514932461,0.08845933644882334,0.03051654530518992,0.03563036255588016,0.18828586074733225,0.024097453158724434,0.08550257774695928,0.014869747380273378,0.011217743653070007
